,district_id,district_name,lat,lon,samples
0,1,BAGALKOT,16.1612862,75.6621002,5193
1,2,BELAGAVI,15.8551087,74.5078497,2244
2,3,BELLARY,15.1451521,76.9268191,2607
3,4,BENGALURU RURAL,13.2969937,77.80018299999998,2043
4,5,BENGALURU URBAN,12.9670125,77.5874312,35027
5,6,BIDAR,17.9140428,77.51562890000002,1372
6,7,CHAMARAJANAGARA,11.926391699999998,76.9375248,1533
7,8,CHIKKABALLAPUR,13.4314103,77.727101,1181
8,9,CHIKKAMAGALUR,13.312825699999998,75.7751685,24751
9,10,CHITRADURGA,14.2238528,76.403139,15305
10,11,DAKSHIN KANNADA,12.8849145,74.8386319,4264
11,12,DAVANAGERE,14.4668926,75.9198377,2114
12,13,DHARWAD,15.4603471,75.0086983,2563
13,14,GADAG,15.4345887,75.63651329999998,3146
14,15,HASSAN,13.0030555,76.100679,4329
15,16,HAVERI,14.788485,75.4007901,1653
16,17,KALABURGI,17.3331819,76.83520490000002,1614
17,18,KODAGU,12.4192571,75.73927540000003,628
18,19,KOLAR,13.1389354,78.13503490000002,2084
19,20,KOPPAL,15.351483600000002,76.1521566,1563
20,21,MANDYA,12.5271497,76.8941433,1859
21,22,MYSURU,12.3035817,76.65217690000001,4236
22,23,RAICHUR,16.2033934,77.34771090000002,2486
23,24,RAMANAGARA,12.7233008,77.28342909999998,751
24,25,SHIMOGA,13.9310737,75.57606190000001,6808
25,26,TUMKUR,13.3368016,77.1017528,1876
26,27,UDUPI,13.338606400000002,74.74855550000002,1979
27,28,UTTARA KANNADA ,14.4262339,74.40775129999999,3485
28,29,VIJAYAPURA,16.8291264,75.7136624,1097
29,30,YADGIRI,16.7675333,77.13209029999999,794
